RESULT TYPE	ID	ASPECT	LEMMA	FRAME	REFLEXVERB
RESULT_1	blu-v-přidržet-přidržovat-3	impf	přidržovat  	ACT(1;obl) PAT(4;obl) LOC(;obl)	no_reflexverb
RESULT_1	blu-v-přidržet-přidržovat-3	pf	přidržet	ACT(1;obl) PAT(4;obl) LOC(;obl)	no_reflexverb
RESULT_1_i	blu-v-postavit-6	pf	postavit	i ACT(1;obl) PAT(4;obl) AIM(na+4;typ)	no_reflexverb
RESULT_1	blu-v-dopřát-dopřávat-1	impf	dopřávat 	ACT(1;obl) ADDR(3;obl) PAT(2,4,inf,aby;obl)	no_reflexverb
RESULT_1	blu-v-dopřát-dopřávat-1	pf	dopřát	ACT(1;obl) ADDR(3;obl) PAT(2,4,inf,aby;obl)	no_reflexverb
RESULT_1	blu-v-stimulovat-1	biasp	stimulovat	ACT(1;obl) ADDR(4;obl) PAT(k+3,aby,ať;obl)	no_reflexverb
RESULT_1	blu-v-vymknout-1	pf	vymknout	ACT(1;obl) PAT(4;obl) BEN(3;typ)	no_reflexverb
RESULT_2	blu-v-řadit-se-1	impf	řadit se	ACT(1;obl) ADDR(k+3;obl) PAT(do+2,v+4;opt) DIR3(;typ) CRIT(;typ) MANN(;typ)	derived-autocaus_patient_PAT blu-v-řadit-1
RESULT_1	blu-v-oslovit-oslovovat-1.2	impf	oslovovat 	ACT(1;obl) ADDR(4;obl) PAT(s+7,zda;obl)	no_reflexverb
RESULT_1	blu-v-oslovit-oslovovat-1.2	pf	oslovit	ACT(1;obl) ADDR(4;obl) PAT(s+7,zda;obl)	no_reflexverb
RESULT_1	blu-v-srovnat-srovnávat-4	impf	srovnávat  	ACT(1;obl) PAT(4;obl) EFF(s+7;obl)	no_reflexverb
RESULT_1	blu-v-srovnat-srovnávat-4	pf	srovnat	ACT(1;obl) PAT(4;obl) EFF(s+7;obl)	no_reflexverb
RESULT_2	blu-v-organizovat-se-1	biasp	organizovat se	ACT(1;obl) PAT(do+2,v+4;opt) MANN(;typ)	derived-autocaus_patient_PAT blu-v-organizovat-2
RESULT_1	blu-v-vyplácet-vyplatit-3	impf	vyplácet 	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-vyplácet-vyplatit-3	pf	vyplatit	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-ukrýt-ukrývat-1	impf	ukrývat 	ACT(1;obl) ADDR(před+7;opt) PAT(4;obl) LOC(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-ukrýt-ukrývat-1	pf	ukrýt	ACT(1;obl) ADDR(před+7;opt) PAT(4;obl) LOC(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-zděsit-1	pf	zděsit	ACT(1;obl) PAT(4;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-udržet-udržovat-3	impf	udržovat  	ACT(1;obl) PAT(4;obl) EFF(adj-4,adj-7;obl)	no_reflexverb
RESULT_1	blu-v-udržet-udržovat-3	pf	udržet	ACT(1;obl) PAT(4;obl) EFF(adj-4,adj-7;obl)	no_reflexverb
RESULT_1_i	blu-v-vynášet-vynést-6	impf	vynášet	i ACT(1;obl) PAT(4;obl) DPHR(do nebe,do nebes;typ)	no_reflexverb
RESULT_1	blu-v-nechat-nechávat-9	impf	nechávat (si) 	ACT(1;obl) PAT(4;obl) TOWH(;obl)	no_reflexverb
RESULT_1	blu-v-nechat-nechávat-9	pf	nechat (si)	ACT(1;obl) PAT(4;obl) TOWH(;obl)	no_reflexverb
RESULT_1	blu-v-zastoupit-zastupovat-4	impf	zastupovat	ACT(1;obl) PAT(4;obl) LOC(;typ)	no_reflexverb
RESULT_1	blu-v-přiklánět-přiklonit-2	impf	přiklánět  	ACT(1;obl) ADDR(k+3,na+4;obl) PAT(4;obl) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-přiklánět-přiklonit-2	pf	přiklonit	ACT(1;obl) ADDR(k+3,na+4;obl) PAT(4;obl) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-pěstovat-1	impf	pěstovat 	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-nést-3.2	impf	nést	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-sbalit-sbalovat-2	impf	sbalovat  	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-sbalit-sbalovat-2	pf	sbalit	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-uvádět-uvést-6	impf	uvádět  	ACT(1;obl) PAT(4;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-uvádět-uvést-6	pf	uvést	ACT(1;obl) PAT(4;obl) MEANS(7;typ)	no_reflexverb
RESULT_1_i	blu-v-dát-dávat-19	impf	dávat  	i ACT(1;obl) ADDR(3;obl) PAT(o+6;obl) EFF(4,zda,že,cont;obl) DPHR(najevo,na vědomí,na vědomost,vědět;obl)	no_reflexverb
RESULT_1_i	blu-v-dát-dávat-19	pf	dát  	i ACT(1;obl) ADDR(3;obl) PAT(o+6;obl) EFF(4,zda,že,cont;obl) DPHR(najevo,na vědomí,na vědomost,vědět;obl)	no_reflexverb
RESULT_1	blu-v-připisovat-připsat-1	impf	připisovat  	ACT(1;obl)  PAT(4;obl)  BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-připisovat-připsat-1	pf	připsat	ACT(1;obl)  PAT(4;obl)  BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-unášet-unést-1	impf	unášet 	ACT(1;obl) PAT(4;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-unášet-unést-1	pf	unést	ACT(1;obl) PAT(4;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-nahrát-nahrávat-2	impf	nahrávat 	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-nahrát-nahrávat-2	pf	nahrát	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-nenávidět-1	impf	nenávidět	ACT(1;obl) PAT(4,inf,že,cont;obl) CAUS(kvůli+3,pro+4,za+4;typ)	no_reflexverb
RESULT_1	blu-v-vyřadit-vyřazovat-2	impf	vyřazovat 	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt)	no_reflexverb
RESULT_1	blu-v-vyřadit-vyřazovat-2	pf	vyřadit	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt)	no_reflexverb
RESULT_1	blu-v-přecházet-přechodit-přejít-6	impf	přecházet  	ACT(1;obl) PAT(4,že,cont;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-přecházet-přechodit-přejít-6	pf1	přejít	ACT(1;obl) PAT(4,že,cont;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-svěřit-svěřovat-2	impf	svěřovat  	ACT(1;obl) ADDR(3;obl) PAT(4,zda,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-svěřit-svěřovat-2	pf	svěřit	ACT(1;obl) ADDR(3;obl) PAT(4,zda,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-vázat-2	impf	vázat	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt)	no_reflexverb
RESULT_1	blu-v-podržet-1	pf	podržet	ACT(1;obl) PAT(4;obl) MEANS(7,za+4;typ) LOC(;typ)	no_reflexverb
RESULT_1	blu-v-opravit-opravovat-1	impf	opravovat 	ACT(1;obl) PAT(4;obl) MEANS(7;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-opravit-opravovat-1	pf	opravit	ACT(1;obl) PAT(4;obl) MEANS(7;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-obsadit-obsazovat-1	impf	obsazovat  	ACT(1;obl) PAT(4;obl) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-obsadit-obsazovat-1	pf	obsadit	ACT(1;obl) PAT(4;obl) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-uvádět-uvést-7	impf	uvádět  	ACT(1;obl) PAT(4;obl) DIR3(;typ) MANN(;typ)	no_reflexverb
RESULT_1	blu-v-uvádět-uvést-7	pf	uvést	ACT(1;obl) PAT(4;obl) DIR3(;typ) MANN(;typ)	no_reflexverb
RESULT_1	blu-v-přivádět-přivést-4	impf	přivádět  	ACT(1;obl) PAT(4;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-přivádět-přivést-4	pf	přivést	ACT(1;obl) PAT(4;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-stíhat-stihnout-3	impf	stíhat	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-vyrovnat-vyrovnávat-5	impf	vyrovnávat  	ACT(1;obl) ADDR(s+7;obl) PAT(4;obl) EFF(do+2,v+4;opt)	no_reflexverb
RESULT_1	blu-v-vyrovnat-vyrovnávat-5	pf	vyrovnat	ACT(1;obl) ADDR(s+7;obl) PAT(4;obl) EFF(do+2,v+4;opt)	no_reflexverb
RESULT_1	blu-v-běžet-2	impf	běžet	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-absolvovat-2	biasp	absolvovat	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_2	blu-v-posadit-se-posazovat-se-1	impf	posazovat se 	ACT(1;obl) DIR3(;obl)	derived-autocaus_patient_PAT blu-v-posadit-posazovat-1
RESULT_2	blu-v-posadit-se-posazovat-se-1	pf	posadit se	ACT(1;obl) DIR3(;obl)	derived-autocaus_patient_PAT blu-v-posadit-posazovat-1
RESULT_1	blu-v-zpozorovat-1	pf	zpozorovat	ACT(1;obl) PAT(4,jak,zda,že,cont;obl)	no_reflexverb
RESULT_1_i	blu-v-přenášet-přenést-5	impf	přenášet	i ACT(1;obl) PAT(4;obl) THL(;typ)	no_reflexverb
RESULT_1	blu-v-vyzářit-vyzařovat-2	impf	vyzařovat 	ACT(1;obl) PAT(4,7;obl)	no_reflexverb
RESULT_1	blu-v-vyzářit-vyzařovat-2	pf	vyzářit	ACT(1;obl) PAT(4,7;obl)	no_reflexverb
RESULT_1	blu-v-upouštět-upustit-2	impf	upouštět 	ACT(1;obl) PAT(4;obl) DIR1(;obl)	no_reflexverb
RESULT_1	blu-v-upouštět-upustit-2	pf	upustit	ACT(1;obl) PAT(4;obl) DIR1(;obl)	no_reflexverb
RESULT_1	blu-v-topit2-1	impf	topit	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1_i	blu-v-ušetřit-4	pf	ušetřit	i ACT(1;obl) ADDR(3;obl) PAT(4;obl)	no_reflexverb
RESULT_1_i	blu-v-zasadit-zasázet-zasazovat-3	impf	zasazovat 	i ACT(1;obl) ADDR(3;obl) PAT(4;obl)	no_reflexverb
RESULT_1_i	blu-v-zasadit-zasázet-zasazovat-3	pf1	zasadit	i ACT(1;obl) ADDR(3;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-limitovat-1	biasp	limitovat	ACT(1;obl) PAT(4;obl) EFF(na+4;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-vnímat-4	impf	vnímat	ACT(1;obl) PAT(4,že;obl) MANN(;obl)	no_reflexverb
RESULT_2	blu-v-soudit-se-1	impf	soudit se 	ACT(1;obl) ADDR(s+7;obl) PAT(o+4;obl)	derived-autocaus_patient_PAT blu-v-soudit-1.2
RESULT_1	blu-v-sestřelit-sestřelovat-sestřílet-1	impf	sestřelovat  	ACT(1;obl) PAT(4;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-sestřelit-sestřelovat-sestřílet-1	pf1	sestřelit  	ACT(1;obl) PAT(4;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-sestřelit-sestřelovat-sestřílet-1	pf2	sestřílet	ACT(1;obl) PAT(4;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-uběhnout-ubíhat-1	pf	uběhnout	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-formovat-2	impf	formovat	ACT(1;obl) PAT(4;obl) EFF(do+2,na+4,v+4;opt)	no_reflexverb
RESULT_2	blu-v-honit-se-1	impf	honit se 	ACT(1;obl) LOC(;typ) DIR(;typ)	derived-decaus_theme blu-v-honit-1 %Chladná ranní mlha se honila v cárech přes parkoviště budovy Informací.% [SYN] ~ derived-autocaus_patient_PAT blu-v-honit-1 %Děti se honí po stinných koutech ...% [SYN]
RESULT_1	blu-v-zmírnit-zmírňovat-1	impf	zmírňovat 	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) EFF(na+4;opt) MEANS(7;typ) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-zmírnit-zmírňovat-1	pf	zmírnit	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) EFF(na+4;opt) MEANS(7;typ) BEN(3;typ)	no_reflexverb
RESULT_1	blu-v-zastihnout-zastihovat-1	impf	zastihovat 	ACT(1;obl) PAT(4;obl) EFF(při+6,inf,jak,že;opt) LOC(;typ)	no_reflexverb
RESULT_1	blu-v-zastihnout-zastihovat-1	pf	zastihnout	ACT(1;obl) PAT(4;obl) EFF(při+6,inf,jak,že;opt) LOC(;typ)	no_reflexverb
RESULT_1	blu-v-vystihnout-vystihovat-1	impf	vystihovat 	ACT(1;obl) PAT(4,zda,že,cont;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-vystihnout-vystihovat-1	pf	vystihnout	ACT(1;obl) PAT(4,zda,že,cont;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-nakazit-nakažovat-nakazovat2-1	impf	nakažovat  	ACT(1;obl) PAT(4;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-nakazit-nakažovat-nakazovat2-1	pf	nakazit	ACT(1;obl) PAT(4;obl) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-vydechovat-vydychovat-vydýchnout-vydechnout-vydychnout-1	impf	vydechovat	ACT(1;obl) PAT(4;opt) DIR1(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-vydechovat-vydychovat-vydýchnout-vydechnout-vydychnout-1	impf	vydychovat 	ACT(1;obl) PAT(4;opt) DIR1(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-vydechovat-vydychovat-vydýchnout-vydechnout-vydychnout-1	pf	vydýchnout	ACT(1;obl) PAT(4;opt) DIR1(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-vydechovat-vydychovat-vydýchnout-vydechnout-vydychnout-1	pf	vydechnout	ACT(1;obl) PAT(4;opt) DIR1(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-vydechovat-vydychovat-vydýchnout-vydechnout-vydychnout-1	pf	vydychnout	ACT(1;obl) PAT(4;opt) DIR1(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-dodat-dodávat-2	impf	dodávat  	ACT(1;obl) PAT(4;obl) DIR3(;obl) DIR(;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-dodat-dodávat-2	pf	dodat	ACT(1;obl) PAT(4;obl) DIR3(;obl) DIR(;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-upírat1-upřít1-1	impf	upírat  	ACT(1;obl) PAT(4;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-upírat1-upřít1-1	pf	upřít	ACT(1;obl) PAT(4;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-signalizovat-2	impf	signalizovat	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_2	blu-v-zařadit-se-zařazovat-se-zařaďovat-se-1	impf	zařazovat se	ACT(1;obl) PAT(do+2,k+3,mezi+4;obl)	derived-autocaus_patient_PAT blu-v-zařadit-zařazovat-zařaďovat-2
RESULT_2	blu-v-zařadit-se-zařazovat-se-zařaďovat-se-1	impf	zařaďovat se  	ACT(1;obl) PAT(do+2,k+3,mezi+4;obl)	derived-autocaus_patient_PAT blu-v-zařadit-zařazovat-zařaďovat-2
RESULT_2	blu-v-zařadit-se-zařazovat-se-zařaďovat-se-1	pf	zařadit se	ACT(1;obl) PAT(do+2,k+3,mezi+4;obl)	derived-autocaus_patient_PAT blu-v-zařadit-zařazovat-zařaďovat-2
RESULT_1	blu-v-sblížit-sbližovat-1	impf	sbližovat 	ACT(1;obl) ADDR(s+7;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-sblížit-sbližovat-1	pf	sblížit	ACT(1;obl) ADDR(s+7;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-svázat-svazovat-2	impf	svazovat  	ACT(1;obl) ADDR(k+3,s+7;obl) PAT(4;obl) EFF(do+2,v+4;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-svázat-svazovat-2	pf	svázat	ACT(1;obl) ADDR(k+3,s+7;obl) PAT(4;obl) EFF(do+2,v+4;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-startovat-1	impf	startovat	ACT(1;obl) PAT(4;opt) MANN(;typ)	no_reflexverb
RESULT_1	blu-v-zahrnout-zahrnovat-4	impf	zahrnovat  	ACT(1;obl) PAT(4;obl) EFF(7;obl)	no_reflexverb
RESULT_1	blu-v-zahrnout-zahrnovat-4	pf	zahrnout	ACT(1;obl) PAT(4;obl) EFF(7;obl)	no_reflexverb
RESULT_1	blu-v-vyřídit1-vyřizovat1-3	pf	vyřídit	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-registrovat-1	biasp	registrovat	ACT(1;obl) PAT(4;obl) LOC(;typ)	no_reflexverb
RESULT_2	blu-v-vláčet-se-vláčit-se-1	impf	vláčet se	ACT(1;obl) INTT(k+3,na+4,inf;opt) DIR(;typ)	derived-autocaus_patient_PAT blu-v-vláčet-vláčit-1
RESULT_2	blu-v-vláčet-se-vláčit-se-1	impf	vláčit se  	ACT(1;obl) INTT(k+3,na+4,inf;opt) DIR(;typ)	derived-autocaus_patient_PAT blu-v-vláčet-vláčit-1
RESULT_1	blu-v-odpouštět1-odpustit1-2	impf	odpouštět 	ACT(1;obl) ADDR(3;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-odpouštět1-odpustit1-2	pf	odpustit	ACT(1;obl) ADDR(3;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-zabezpečit-zabezpečovat-1	impf	zabezpečovat  	ACT(1;obl) PAT(4,aby;obl) EFF(proti+3,před+7;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-zabezpečit-zabezpečovat-1	pf	zabezpečit	ACT(1;obl) PAT(4,aby;obl) EFF(proti+3,před+7;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-stát1-1	impf	stát 	ACT(1;obl) ADDR(4;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-povědět-povídat-4	pf	povědět	ACT(1;obl) ADDR(3;opt) PAT(4,zda,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-balit-5	impf	balit 	ACT(1;obl) PAT(4;obl) EFF(do+2;opt)	no_reflexverb
RESULT_1	blu-v-říci-říct-říkat-7	impf	říkat 	ACT(1;obl) ADDR(3;obl) PAT(na+4;obl) EFF(4,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-říci-říct-říkat-7	pf	říci	ACT(1;obl) ADDR(3;obl) PAT(na+4;obl) EFF(4,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-říci-říct-říkat-7	pf	říct  	ACT(1;obl) ADDR(3;obl) PAT(na+4;obl) EFF(4,že,cont;obl)	no_reflexverb
RESULT_1	blu-v-uvidět-1	pf	uvidět	ACT(1;obl) PAT(4,jak,že,cont;obl) MANN(;typ) LOC(;typ)	no_reflexverb
RESULT_1	blu-v-vyrozumět-vyrozumívat-2	impf	vyrozumívat 	ACT(1;obl) PAT(4,zda,že,cont;obl) ORIG(z+2;opt)	no_reflexverb
RESULT_1	blu-v-vyrozumět-vyrozumívat-2	pf	vyrozumět	ACT(1;obl) PAT(4,zda,že,cont;obl) ORIG(z+2;opt)	no_reflexverb
RESULT_1_i	blu-v-zavázat-zavazovat-6	impf	zavazovat 	i ACT(1;obl) ADDR(4;obl) PAT(k+3,inf,aby,ať,že,cont;opt)	no_reflexverb
RESULT_1_i	blu-v-zavázat-zavazovat-6	pf	zavázat	i ACT(1;obl) ADDR(4;obl) PAT(k+3,inf,aby,ať,že,cont;opt)	no_reflexverb
RESULT_1_i	blu-v-natáhnout-natahovat-7	impf	natahovat 	i ACT(1;obl) PAT(4;obl) DIR3(;obl) INTT(k+3,na+4,inf;opt) DIR(;typ)	no_reflexverb
RESULT_1_i	blu-v-natáhnout-natahovat-7	pf	natáhnout	i ACT(1;obl) PAT(4;obl) DIR3(;obl) INTT(k+3,na+4,inf;opt) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vyhrkat-vyhrkávat-vyhrkovat-vyhrknout-2	impf1	vyhrkávat 	ACT(1;obl) ADDR(na+4;opt) PAT(4,aby,ať,zda,že,cont;obl) DIR1(;typ)	no_reflexverb
RESULT_1	blu-v-vyhrkat-vyhrkávat-vyhrkovat-vyhrknout-2	impf2	vyhrkovat 	ACT(1;obl) ADDR(na+4;opt) PAT(4,aby,ať,zda,že,cont;obl) DIR1(;typ)	no_reflexverb
RESULT_1	blu-v-vyhrkat-vyhrkávat-vyhrkovat-vyhrknout-2	pf1	vyhrknout 	ACT(1;obl) ADDR(na+4;opt) PAT(4,aby,ať,zda,že,cont;obl) DIR1(;typ)	no_reflexverb
RESULT_1	blu-v-vyhrkat-vyhrkávat-vyhrkovat-vyhrknout-2	pf2	vyhrkat	ACT(1;obl) ADDR(na+4;opt) PAT(4,aby,ať,zda,že,cont;obl) DIR1(;typ)	no_reflexverb
RESULT_1	blu-v-svlékat-svléknout-svléci-svléct-1	impf	svlékat  	ACT(1;obl) ADDR(3;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-svlékat-svléknout-svléci-svléct-1	pf1	svléci	ACT(1;obl) ADDR(3;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-svlékat-svléknout-svléci-svléct-1	pf1	svléct	ACT(1;obl) ADDR(3;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-svlékat-svléknout-svléci-svléct-1	pf1	svlíct 	ACT(1;obl) ADDR(3;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-svlékat-svléknout-svléci-svléct-1	pf2	svléknout 	ACT(1;obl) ADDR(3;opt) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-naučit-1	pf	naučit	ACT(1;obl) ADDR(4;obl) PAT(3,4,inf,aby,ať,že,cont;obl) MANN(;typ)	no_reflexverb
RESULT_1	blu-v-zavinit-1	pf	zavinit	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-překládat-přeložit-4	impf	překládat  	ACT(1;obl) PAT(4;obl)	no_reflexverb
